tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CALIAS_449532_r;ALIAS_449532_r;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_449532_r,ALIAS_449532_r,1,OdataApi)
CN23G1126_ANA8;N23G1126_ANA8;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23G1126_ANA8,N23G1126_ANA8,1,OdataApi)
CN00G0041_ANA3;N00G0041_ANA3;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN00G0041_ANA3,N00G0041_ANA3,1,OdataApi)
CALIAS_2448083_E;ALIAS_2448083_E;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_2448083_E,ALIAS_2448083_E,1,OdataApi)
CN51P0078_SDL04;N51P0078_SDL04;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51P0078_SDL04,N51P0078_SDL04,1,OdataApi)
CN23G1126_HB13;N23G1126_HB13;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23G1126_HB13,N23G1126_HB13,1,OdataApi)
CS22867_ANM_MVAR_EXP_SP;S22867_ANM_MVAR_EXP_SP;EAST_MIDLANDS;5;1;REAL;POWERON_ZIVWB;;;
CN906387_HB01;N906387_HB01;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN906387_HB01,N906387_HB01,1,OdataApi)
CALIAS_4708908_E;ALIAS_4708908_E;EAST_MIDLANDS;1;7;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4708908_E,ALIAS_4708908_E,1,OdataApi)
CN23P0124_ANA1;N23P0124_ANA1;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23P0124_ANA1,N23P0124_ANA1,1,OdataApi)
CALIAS_4618779_E;ALIAS_4618779_E;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4618779_E,ALIAS_4618779_E,1,OdataApi)
CN890044_1L5ANR;N890044_1L5ANR;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890044_1L5ANR,N890044_1L5ANR,1,OdataApi)
CALIAS_71730_p;ALIAS_71730_p;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_71730_p,ALIAS_71730_p,1,OdataApi)
CALIAS_4708918_E;ALIAS_4708918_E;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4708918_E,ALIAS_4708918_E,1,OdataApi)
CALIAS_4315466_w;ALIAS_4315466_w;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4315466_w,ALIAS_4315466_w,1,OdataApi)
CALIAS_427483_r;ALIAS_427483_r;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_427483_r,ALIAS_427483_r,1,OdataApi)
CN00G0038_132_205ANV;N00G0038_132_205ANV;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN00G0038_132_205ANV,N00G0038_132_205ANV,1,OdataApi)
CALIAS_71726_p;ALIAS_71726_p;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_71726_p,ALIAS_71726_p,1,OdataApi)
